Algo,Energy,Damp,y,γ,γfact,D,N,Assignments
rAP,2.5860729371102305,0.7,10.0,0.1,1.1,2,1000,0.999
AP,3.709249512229671,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,10.37866203378862,0.7,10.0,0.1,1.1,2,1000,0.999
AP,5.306762586206264,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.4956172780348258,0.7,10.0,0.1,1.1,2,1000,0.923
AP,2.739195116252991,0.7,-1.0,-1.0,-1.0,2,1000,0.995
rAP,6.008829115045319,0.7,10.0,0.1,1.1,2,1000,0.973
AP,4.894026072208801,0.7,-1.0,-1.0,-1.0,2,1000,0.998
rAP,0.48176816222992613,0.7,10.0,0.1,1.1,2,1000,0.782
AP,4.5133016482548625,0.7,-1.0,-1.0,-1.0,2,1000,0.994
rAP,0.47888981349565973,0.7,10.0,0.1,1.1,2,1000,0.873
AP,2.4836229125713993,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,6.965519198403401,0.7,10.0,0.1,1.1,2,1000,0.999
AP,3.4093139046598573,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,6.516059235508045,0.7,10.0,0.1,1.1,2,1000,1.0
AP,4.78327126769356,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.4787938021279393,0.7,10.0,0.1,1.1,2,1000,0.997
AP,0.5046076439136651,0.7,-1.0,-1.0,-1.0,2,1000,0.988
rAP,0.48109582080736246,0.7,10.0,0.1,1.1,2,1000,1.0
AP,5.608374452402821,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.47375528691485874,0.7,10.0,0.1,1.1,2,1000,0.983
AP,3.6890008833275383,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.49204654141255827,0.7,10.0,0.1,1.1,2,1000,0.954
AP,1.5852763669672623,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,2.1980240228707824,0.7,10.0,0.1,1.1,2,1000,0.999
AP,1.697315117083601,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.48691705398348606,0.7,10.0,0.1,1.1,2,1000,0.765
AP,2.869611730863887,0.7,-1.0,-1.0,-1.0,2,1000,0.977
rAP,0.4856202498644535,0.7,10.0,0.1,1.1,2,1000,0.833
AP,5.527890761752904,0.7,-1.0,-1.0,-1.0,2,1000,1.0
rAP,3.819709368786954,0.7,10.0,0.1,1.1,2,1000,0.997
AP,5.990268128129335,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.47998975143385725,0.7,10.0,0.1,1.1,2,1000,0.994
AP,4.935630181787824,0.7,-1.0,-1.0,-1.0,2,1000,0.998
rAP,0.4858494039471398,0.7,10.0,0.1,1.1,2,1000,0.976
AP,0.4842635412481864,0.7,-1.0,-1.0,-1.0,2,1000,0.837
rAP,4.007446359112265,0.7,10.0,0.1,1.1,2,1000,0.999
AP,0.4829639702770842,0.7,-1.0,-1.0,-1.0,2,1000,0.751
rAP,0.4824239852483333,0.7,10.0,0.1,1.1,2,1000,0.634
AP,2.672873076364313,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.4817702886713351,0.7,10.0,0.1,1.1,2,1000,0.867
AP,7.126139126495399,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,1.3669540872370605,0.7,10.0,0.1,1.1,2,1000,0.922
AP,3.867637000244264,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,4.552137914353387,0.7,10.0,0.1,1.1,2,1000,0.999
AP,0.6413398179670168,0.7,-1.0,-1.0,-1.0,2,1000,0.8260000000000001
rAP,0.482811577398238,0.7,10.0,0.1,1.1,2,1000,0.8
AP,0.4853927832692652,0.7,-1.0,-1.0,-1.0,2,1000,0.741
rAP,2.391823385046911,0.7,10.0,0.1,1.1,2,1000,0.9410000000000001
AP,0.7137391190529988,0.7,-1.0,-1.0,-1.0,2,1000,0.758
rAP,0.47896038094312177,0.7,10.0,0.1,1.1,2,1000,0.8
AP,1.9241630924443731,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.4897245863602723,0.7,10.0,0.1,1.1,2,1000,0.895
AP,1.8035620563119212,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.48406948131890803,0.7,10.0,0.1,1.1,2,1000,0.956
AP,0.705662565667937,0.7,-1.0,-1.0,-1.0,2,1000,0.994
rAP,0.47472235983813205,0.7,10.0,0.1,1.1,2,1000,0.964
AP,11.520825935696513,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.7413564258676517,0.7,10.0,0.1,1.1,2,1000,0.999
AP,10.451065067245604,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,1.1346554938740563,0.7,10.0,0.1,1.1,2,1000,0.999
AP,0.48863874247724604,0.7,-1.0,-1.0,-1.0,2,1000,0.949
rAP,0.4881405939770925,0.7,10.0,0.1,1.1,2,1000,0.95
AP,0.4831346479144461,0.7,-1.0,-1.0,-1.0,2,1000,0.749
rAP,0.4842171042620563,0.7,10.0,0.1,1.1,2,1000,0.837
AP,0.48968981114908,0.7,-1.0,-1.0,-1.0,2,1000,0.835
rAP,0.47576714939841386,0.7,10.0,0.1,1.1,2,1000,0.91
AP,0.6877293523233711,0.7,-1.0,-1.0,-1.0,2,1000,0.988
rAP,0.4873074233430802,0.7,10.0,0.1,1.1,2,1000,0.769
AP,4.190272266873203,0.7,-1.0,-1.0,-1.0,2,1000,0.998
rAP,0.48388821363205986,0.7,10.0,0.1,1.1,2,1000,0.558
AP,0.4841116960520931,0.7,-1.0,-1.0,-1.0,2,1000,0.884
rAP,3.670200233494688,0.7,10.0,0.1,1.1,2,1000,0.98
AP,0.6923893757847057,0.7,-1.0,-1.0,-1.0,2,1000,0.985
rAP,0.4835025205152861,0.7,10.0,0.1,1.1,2,1000,0.5549999999999999
AP,3.6052776238954705,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,7.855489715694082,0.7,10.0,0.1,1.1,2,1000,1.0
AP,2.9545543229612705,0.7,-1.0,-1.0,-1.0,2,1000,0.995
rAP,0.4817482762540316,0.7,10.0,0.1,1.1,2,1000,0.767
AP,0.4887201902860884,0.7,-1.0,-1.0,-1.0,2,1000,0.902
rAP,0.479545440081088,0.7,10.0,0.1,1.1,2,1000,0.653
AP,0.7137391190529988,0.7,-1.0,-1.0,-1.0,2,1000,0.758
rAP,0.5050088869260476,0.7,10.0,0.1,1.1,2,1000,0.638
AP,1.5135865020033372,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,4.799985265334757,0.7,10.0,0.1,1.1,2,1000,0.967
AP,2.372782140467507,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,1.942254372055977,0.7,10.0,0.1,1.1,2,1000,0.999
AP,5.953859750443553,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.47838449834948393,0.7,10.0,0.1,1.1,2,1000,0.865
AP,1.0509998985330968,0.7,-1.0,-1.0,-1.0,2,1000,0.996
rAP,6.355721551746136,0.7,10.0,0.1,1.1,2,1000,0.997
AP,0.48317241178202736,0.7,-1.0,-1.0,-1.0,2,1000,0.752
rAP,0.4760594995424931,0.7,10.0,0.1,1.1,2,1000,0.648
AP,2.6285461728296204,0.7,-1.0,-1.0,-1.0,2,1000,0.971
rAP,0.49445643532171435,0.7,10.0,0.1,1.1,2,1000,0.629
AP,0.6591447965258742,0.7,-1.0,-1.0,-1.0,2,1000,0.513
rAP,0.48330693853636436,0.7,10.0,0.1,1.1,2,1000,0.81
AP,0.4810800321790674,0.7,-1.0,-1.0,-1.0,2,1000,0.995
rAP,0.4810800321790674,0.7,10.0,0.1,1.1,2,1000,0.995
AP,2.6209610207803777,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.5600648253675214,0.7,10.0,0.1,1.1,2,1000,0.999
AP,3.0959198462507014,0.7,-1.0,-1.0,-1.0,2,1000,0.969
rAP,0.49036480533000515,0.7,10.0,0.1,1.1,2,1000,0.95
AP,0.48198208514554913,0.7,-1.0,-1.0,-1.0,2,1000,0.849
rAP,0.48198208514554913,0.7,10.0,0.1,1.1,2,1000,0.849
AP,5.829372547370645,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,1.0709941365488616,0.7,10.0,0.1,1.1,2,1000,0.985
AP,1.901886876921892,0.7,-1.0,-1.0,-1.0,2,1000,0.999
rAP,0.4745427740555752,0.7,10.0,0.1,1.1,2,1000,0.6719999999999999
AP,3.391326053114512,0.7,-1.0,-1.0,-1.0,2,1000,0.997
